idImagen,clase,rutaRaw,rutaCudaBin,alto,ancho,tiempoKernelMs,tiempoTotalGpuSegundos,hilosX,hilosY,filtro,estado,error
53,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_53_raw.bin,salidas/cudaBin/Bercak Daun/imagen_53_cuda.bin,512,512,0.04032,0.00218922,16,16,enfoque,ok,
54,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_54_raw.bin,salidas/cudaBin/Bercak Daun/imagen_54_cuda.bin,512,512,0.03984,0.00219389,16,16,enfoque,ok,
55,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_55_raw.bin,salidas/cudaBin/Bercak Daun/imagen_55_cuda.bin,512,512,0.041888,0.00234216,16,16,enfoque,ok,
56,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_56_raw.bin,salidas/cudaBin/Bercak Daun/imagen_56_cuda.bin,512,512,0.040224,0.00224497,16,16,enfoque,ok,
57,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_57_raw.bin,salidas/cudaBin/Bercak Daun/imagen_57_cuda.bin,512,512,0.034304,0.00265261,16,16,enfoque,ok,
58,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_58_raw.bin,salidas/cudaBin/Bercak Daun/imagen_58_cuda.bin,512,512,0.041056,0.00237437,16,16,enfoque,ok,
59,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_59_raw.bin,salidas/cudaBin/Bercak Daun/imagen_59_cuda.bin,512,512,0.038592,0.00222152,16,16,enfoque,ok,
60,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_60_raw.bin,salidas/cudaBin/Bercak Daun/imagen_60_cuda.bin,512,512,0.041088,0.00224492,16,16,enfoque,ok,
61,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_61_raw.bin,salidas/cudaBin/Bercak Daun/imagen_61_cuda.bin,512,512,0.040256,0.00240547,16,16,enfoque,ok,
62,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_62_raw.bin,salidas/cudaBin/Bercak Daun/imagen_62_cuda.bin,512,512,0.041408,0.00238829,16,16,enfoque,ok,
63,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_63_raw.bin,salidas/cudaBin/Bercak Daun/imagen_63_cuda.bin,512,512,0.042816,0.00218384,16,16,enfoque,ok,
64,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_64_raw.bin,salidas/cudaBin/Bercak Daun/imagen_64_cuda.bin,512,512,0.039936,0.0022434,16,16,enfoque,ok,
65,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_65_raw.bin,salidas/cudaBin/Bercak Daun/imagen_65_cuda.bin,512,512,0.039296,0.00220733,16,16,enfoque,ok,
66,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_66_raw.bin,salidas/cudaBin/Bercak Daun/imagen_66_cuda.bin,512,512,0.04016,0.0022061,16,16,enfoque,ok,
67,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_67_raw.bin,salidas/cudaBin/Bercak Daun/imagen_67_cuda.bin,512,512,0.040192,0.00248315,16,16,enfoque,ok,
68,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_68_raw.bin,salidas/cudaBin/Bercak Daun/imagen_68_cuda.bin,512,512,0.04064,0.00236047,16,16,enfoque,ok,
69,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_69_raw.bin,salidas/cudaBin/Bercak Daun/imagen_69_cuda.bin,512,512,0.040288,0.00228227,16,16,enfoque,ok,
70,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_70_raw.bin,salidas/cudaBin/Bercak Daun/imagen_70_cuda.bin,512,512,0.039104,0.00238181,16,16,enfoque,ok,
71,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_71_raw.bin,salidas/cudaBin/Bercak Daun/imagen_71_cuda.bin,512,512,0.040768,0.00226305,16,16,enfoque,ok,
72,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_72_raw.bin,salidas/cudaBin/Bercak Daun/imagen_72_cuda.bin,512,512,0.040544,0.00220326,16,16,enfoque,ok,
73,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_73_raw.bin,salidas/cudaBin/Bercak Daun/imagen_73_cuda.bin,512,512,0.040224,0.00223443,16,16,enfoque,ok,
74,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_74_raw.bin,salidas/cudaBin/Bercak Daun/imagen_74_cuda.bin,512,512,0.03968,0.00235288,16,16,enfoque,ok,
75,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_75_raw.bin,salidas/cudaBin/Bercak Daun/imagen_75_cuda.bin,512,512,0.040544,0.0026504,16,16,enfoque,ok,
76,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_76_raw.bin,salidas/cudaBin/Bercak Daun/imagen_76_cuda.bin,512,512,0.035584,0.00256342,16,16,enfoque,ok,
77,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_77_raw.bin,salidas/cudaBin/Bercak Daun/imagen_77_cuda.bin,512,512,0.041184,0.00241491,16,16,enfoque,ok,
78,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_78_raw.bin,salidas/cudaBin/Bercak Daun/imagen_78_cuda.bin,512,512,0.047104,0.00239833,16,16,enfoque,ok,
79,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_79_raw.bin,salidas/cudaBin/Bercak Daun/imagen_79_cuda.bin,512,512,0.04144,0.0025603,16,16,enfoque,ok,
